split,side,proxy,formation_window,horizon,low_pressure_mean_markout_bps,high_pressure_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,low_count,high_count
test,buy,P2_market_cancel,30,10,-0.20562112954073636,0.06114182250608093,0.26676295204681727,0.050482444711274395,61786,14934
validation,buy,P2_market_cancel,30,30,-0.025982433098295652,0.10701578270882971,0.13299821580712537,0.02170041432640532,30974,60497
test,buy,P2_market_cancel,30,30,-0.33670115316293703,-0.03956277403086755,0.2971383791320695,0.0270710987569243,61709,14914
validation,buy,P2_market_cancel,30,60,-0.1051770719098493,0.1024693519384192,0.2076464238482685,0.007785248707339831,30878,60369
test,buy,P2_market_cancel,30,60,-0.5435412197632229,-0.6553747757879128,-0.11183355602468992,0.010950827034367715,61555,14886
validation,buy,P2_market_cancel,30,300,-0.3438448186090866,-0.3443459613371678,-0.0005011427280812164,0.005886796175357905,30350,59195
test,buy,P2_market_cancel,30,300,-2.277507320085965,-2.6529453066692907,-0.37543798658332594,-0.009812941911821757,60262,14688
validation,buy,P3_full_depth_norm,30,1,0.017584131851140793,-0.022312394391527542,-0.03989652624266833,-0.01724572979539013,83785,29428
test,buy,P3_full_depth_norm,30,1,0.012919065470726646,-0.05573661524740918,-0.06865568071813583,-0.011037686814319604,106841,13123
validation,buy,P3_full_depth_norm,30,5,0.048777960451253086,-0.08427197786107014,-0.13304993831232323,-0.01540098071667671,83754,29422
test,buy,P3_full_depth_norm,30,5,0.03659200237561355,-0.22899300133513226,-0.2655850037107458,-0.006774145347219174,106800,13115
validation,buy,P3_full_depth_norm,30,10,0.0810803530615616,-0.1527417829375191,-0.2338221359990807,-0.01722403782104267,83715,29407
test,buy,P3_full_depth_norm,30,10,0.06518927906507647,-0.40958248610172093,-0.4747717651667974,-0.00679336523812799,106759,13102
validation,buy,P3_full_depth_norm,30,30,0.15691985408536852,-0.4001163304748239,-0.5570361845601924,-0.022952979006895094,83551,29364
test,buy,P3_full_depth_norm,30,30,0.1677940251135881,-1.0682100403349477,-1.2360040654485358,-0.019762275552529917,106604,13051
validation,buy,P3_full_depth_norm,30,60,0.16224488549326868,-0.539128396489381,-0.7013732819826497,-0.024475118919613115,83283,29316
test,buy,P3_full_depth_norm,30,60,0.1951089070073452,-2.200426344434816,-2.395535251442161,-0.026572205700197193,106382,13042
validation,buy,P3_full_depth_norm,30,300,-0.8294252446171044,-0.3205352143601721,0.5088900302569324,0.009049598548379265,81725,28894
test,buy,P3_full_depth_norm,30,300,-1.0679215955438623,-0.7868614780665725,0.2810601174772899,-0.0265229618799661,104755,12720
validation,buy,P1_market,60,1,0.006817879404274461,-0.0032862629400158966,-0.010104142344290357,0.0018591562113627988,27603,80801
test,buy,P1_market,60,1,0.0028352802837429423,-0.02132326071493454,-0.02415854099867748,-0.005768878481978264,54680,38694
validation,buy,P1_market,60,5,0.0047377503540684054,-0.013169655543310465,-0.01790740589737887,0.0012476739122547042,27591,80786
test,buy,P1_market,60,5,0.0030037838411875613,-0.08458297962715508,-0.08758676346834264,-0.009586537439037196,54671,38686
validation,buy,P1_market,60,10,-0.019472473880716056,-0.026294499831105742,-0.006822025950389686,-0.0002126016802048025,27576,80771
test,buy,P1_market,60,10,0.0020122187862723815,-0.16192476426173133,-0.16393698304800372,-0.005499389679132526,54652,38676
validation,buy,P1_market,60,30,-0.018120907683822293,-0.018211599490615914,-9.069180679362188e-05,0.0059422178623132595,27509,80686
test,buy,P1_market,60,30,-0.034484334451082344,-0.3146045038102281,-0.28012016935914574,-0.00024656037267396075,54574,38647
validation,buy,P1_market,60,60,-0.21756133983875445,0.09734533194303292,0.3149066717817874,0.016267037842729447,27405,80543
test,buy,P1_market,60,60,-0.14739402240582364,-0.49649449431946047,-0.3491004719136368,0.00732435775962522,54514,38542
validation,buy,P1_market,60,300,-2.417253119183645,0.735254059784458,3.152507178968103,0.04177510604526731,26590,79563
test,buy,P1_market,60,300,-0.7372452823341348,-3.7721506067482715,-3.0349053244141366,0.01269275823818254,53536,37569
validation,buy,P2_market_cancel,60,1,-0.017129769964548965,0.01466878650327101,0.031798556467819976,0.02757710939305265,28642,61493
test,buy,P2_market_cancel,60,1,-0.01879890981153282,-0.0008863415664430913,0.017912568245089727,0.024740028568605,72617,12494
validation,buy,P2_market_cancel,60,5,-0.029688151672903153,0.033841740720106706,0.06352989239300985,0.03871776077033674,28630,61477
test,buy,P2_market_cancel,60,5,-0.06126067513819662,-0.030329246429888188,0.030931428708308433,0.03613463258200982,72593,12490
validation,buy,P2_market_cancel,60,10,-0.014030563910432134,0.02987846634171208,0.04390903025214422,0.03008699227104644,28616,61457
test,buy,P2_market_cancel,60,10,-0.10410175717378414,-0.14390055118450595,-0.03979879401072181,0.031771445131705406,72563,12488
validation,buy,P2_market_cancel,60,30,0.08559126821278167,-0.013947615818942022,-0.09953888403172369,0.009448012362627703,28552,61374
test,buy,P2_market_cancel,60,30,-0.2307308784312191,-0.4614261775883425,-0.2306952991571234,0.017195029807601053,72458,12485
validation,buy,P2_market_cancel,60,60,0.21098230920937855,-0.07029790783237078,-0.2812802170417493,-0.0032076332145404654,28469,61255
test,buy,P2_market_cancel,60,60,-0.3887745673523822,-0.6626775688521083,-0.2739030014997261,0.0008436859345212882,72266,12442
validation,buy,P2_market_cancel,60,300,-0.4698129076506535,-0.6055215700206196,-0.1357086623699661,0.002661678479680874,27981,60049
test,buy,P2_market_cancel,60,300,-1.5989527309949805,-3.3064486192107587,-1.7074958882157782,-0.01714407737713151,70926,12298
validation,buy,P3_full_depth_norm,60,1,0.012014896454599642,-0.022151685606944783,-0.03416658206154442,-0.01351129690366744,88909,26665
test,buy,P3_full_depth_norm,60,1,0.006560630301804834,-0.07624726376402928,-0.08280789406583411,-0.0068893451356801805,116480,10922
validation,buy,P3_full_depth_norm,60,5,0.03510354189243454,-0.08084828609525839,-0.11595182798769293,-0.014479545498753363,88865,26660
test,buy,P3_full_depth_norm,60,5,0.022578270561101062,-0.33708502988564976,-0.3596633004467508,-0.0072082184851981305,116437,10918
validation,buy,P3_full_depth_norm,60,10,0.06170062461571084,-0.14536059126873477,-0.2070612158844456,-0.01749485530530635,88812,26650
test,buy,P3_full_depth_norm,60,10,0.03777613240138518,-0.6622515516175094,-0.7000276840188946,-0.010237788648137338,116387,10913
validation,buy,P3_full_depth_norm,60,30,0.12507846697250025,-0.333737268374659,-0.45881573534715925,-0.02070518927462849,88646,26615
test,buy,P3_full_depth_norm,60,30,0.11375844242099256,-1.868314614778786,-1.9820730571997784,-0.02024496207520335,116209,10873
validation,buy,P3_full_depth_norm,60,60,0.0698383499639928,-0.3154629646774735,-0.3853013146414663,-0.016180774292403777,88395,26572
test,buy,P3_full_depth_norm,60,60,0.19414132099633902,-3.613054199788899,-3.807195520785238,-0.025345045149861998,115979,10841
validation,buy,P3_full_depth_norm,60,300,-1.1110547602772503,-0.6666997359308968,0.44435502434635343,0.015206210904145695,86739,26202
test,buy,P3_full_depth_norm,60,300,-0.8656991681861369,-0.28802898911633257,0.5776701790698043,-0.028443949944787245,114217,10558
validation,sell,P1_market,1,1,-0.014937458802089583,,,0.007430275533990742,67656,0
test,sell,P1_market,1,1,-0.027008276470088813,,,0.02203162040014638,57296,0
validation,sell,P1_market,1,5,-0.013198060845694923,,,0.003393502778495932,67645,0
test,sell,P1_market,1,5,-0.036289631277477086,,,0.011457923940596715,57278,0
validation,sell,P1_market,1,10,-0.004335561771013611,,,0.0028171664445765434,67624,0
test,sell,P1_market,1,10,-0.03572724937842668,,,0.006778752190395968,57254,0
validation,sell,P1_market,1,30,0.019858665821608053,,,-0.0010720858387740693,67541,0
test,sell,P1_market,1,30,-0.04533838462063522,,,-0.002172215326872066,57167,0
validation,sell,P1_market,1,60,0.07802279824962984,,,-0.0008177533012858006,67419,0
test,sell,P1_market,1,60,-0.057170650189550046,,,-0.004498850840433573,57049,0
validation,sell,P1_market,1,300,0.7706763006931485,,,-0.01251753139228982,66319,0
test,sell,P1_market,1,300,0.8941230390780336,,,-0.011613697040091412,55980,0
validation,sell,P2_market_cancel,1,1,-0.11247979299814062,0.13882323543404615,0.25130302843218677,0.10729263693787947,42887,55474
test,sell,P2_market_cancel,1,1,-0.11545596179404853,0.17570773515464502,0.29116369694869354,0.10562621632758433,37274,30218
validation,sell,P2_market_cancel,1,5,-0.3018971715838028,0.3628800362229868,0.6647772078067896,0.13321178559950292,42872,55462
