side,formation_window,horizon,market_only_r2,plus_cancel_r2,plus_replenishment_r2,full_proxy_r2,cancel_increment_r2,replenishment_increment_r2,full_proxy_increment_r2_vs_controls,market_only_rank_correlation,full_proxy_rank_correlation,full_proxy_top_minus_bottom_markout_bps
sell,1,1,0.020605509061856764,0.020746182136339053,0.02095314765794809,0.02010565822374699,0.00014067307448228927,0.00020696552160903714,-0.0003057466306648493,0.22751390967120616,0.23301694930713923,-0.15865704219932045
sell,1,5,0.01940952720019573,0.01957874925257852,0.01986498555180416,0.019140267619021878,0.0001692220523827892,0.00028623629922563953,5.097402070375345e-05,0.22917762147885015,0.23007934402380645,-0.20412405942507764
sell,1,10,0.01687218022836312,0.01699680683523508,0.01724621456794495,0.01650337929131862,0.00012462660687195815,0.00024940773270987204,4.6030941473040876e-05,0.2118061895288665,0.21183445425662126,-0.2557619925893012
sell,1,30,0.008773087217083475,0.00848670814872543,0.0084675576580161,0.008149992518647675,-0.0002863790683580447,-1.9150490709329837e-05,-0.00012678274216149088,0.13370957913058515,0.13134660501890602,-0.2796911521932852
sell,1,60,0.003197975216936655,0.003019902606145264,0.003007947411552525,0.002603709001780863,-0.00017807261079139103,-1.195519459273875e-05,-0.0001342586260583145,0.08942819141360689,0.08633024987084037,-0.2594536219460347
sell,1,300,0.00012362369601470746,0.00010117652932928323,0.0003101566261798361,0.00017804336215143657,-2.2447166685424236e-05,0.00020898009685055285,0.00011983687111094543,0.029400895264715173,0.02699517571872961,0.5023530800703664
sell,2,1,0.02098287022376899,0.021094748230984672,0.02068909674250219,0.020311154432583245,0.0001118780072156822,-0.00040565148848248356,-0.0005619801096206078,0.22869763636210086,0.23109365426308842,-0.13318408169803744
sell,2,5,0.01950740360207759,0.019685448033649244,0.01977697267439027,0.019160174911495464,0.00017804443157165561,9.152464074102529e-05,-6.439911372313478e-05,0.22816967045917566,0.22804192420889466,-0.16454511765138477
sell,2,10,0.01688772187074905,0.017018306976938957,0.017164131372775837,0.01639941203914186,0.0001305851061899066,0.0001458243958368799,-4.393256425971881e-05,0.21089974979793283,0.21023633690222365,-0.23772874423106446
sell,2,30,0.00877697339784389,0.00845979418378584,0.008417048164901964,0.007914639058790418,-0.00031717921405804983,-4.274601888387686e-05,-0.00026514462457938315,0.13344855160310595,0.13020416271759108,-0.2277764875737044
sell,2,60,0.0031790640413477123,0.002964684661636019,0.0029323291032427035,0.0023607597479253783,-0.0002143793797116933,-3.23555583933155e-05,-0.00024032081503522207,0.08948880430278264,0.0857727119515446,-0.14496406464231792
sell,2,300,0.00015851464083282973,0.0001570646963956479,0.00041371217281549466,0.00027015804711416624,-1.449944437181827e-06,0.00025664747641984675,0.00016030384707033107,0.029922879133781617,0.02768232166122741,0.7820222885704984
sell,5,1,0.021724360012521426,0.021784772120925555,0.021507469578922134,0.021114072206327106,6.0412108404128695e-05,-0.0002773025420034214,-0.0005696989372984129,0.23075553969679125,0.22942102536284895,-0.08158960752419675
sell,5,5,0.019599176466832513,0.01976395138992737,0.01974998085004953,0.019041028887390343,0.00016477492309485697,-1.3970539877838917e-05,-0.0002732093637920485,0.22715011444538352,0.2252171635963538,-0.13031851774870878
sell,5,10,0.017117182207264103,0.017275004020775087,0.017321625227058934,0.016410236205881334,0.00015782181351098323,4.6621206283847805e-05,-0.0002008923246020755,0.2111009371067314,0.2089678332913339,-0.17126381669912638
sell,5,30,0.008971806151549133,0.008631378799122347,0.0086124180393774,0.0075670310777056216,-0.00034042735242678646,-1.8960759744945932e-05,-0.0005686367626971389,0.1332732619526731,0.12824927705188166,-0.18236710679915152
sell,5,60,0.0032237044583818264,0.0029459171988235333,0.0028968106090750956,0.0018717796262133213,-0.0002777872595582931,-4.9106589748437734e-05,-0.0005219896518178224,0.08947920240319947,0.08431186644651796,-0.14434020120728686
sell,5,300,0.0002175801848919301,0.0002628093843914936,0.000630465847519246,0.0005321121574619614,4.52291994995635e-05,0.00036765646312775235,0.0002903453382073762,0.03061921571404787,0.02803467783461607,0.7051897969003236
sell,10,1,0.021830801401169442,0.021855420961111593,0.02190436226645265,0.021221169984149246,2.4619559942151703e-05,4.8941305341054786e-05,-0.0005668865580390481,0.2313842055852492,0.22912863769274175,-0.0743980545913826
sell,10,5,0.019824149563350768,0.019947426619667086,0.01995404418380453,0.01911844139337726,0.0001232770563163177,6.61756413744552e-06,-0.0003455114898861522,0.2289752916613045,0.22623220222273202,-0.11018603458288895
sell,10,10,0.017288417873671635,0.017383821804701105,0.017376117264662483,0.016255315373514545,9.540393102946965e-05,-7.704540038622198e-06,-0.000386520695182635,0.21205753340495087,0.20830386261649242,-0.09765905423628779
sell,10,30,0.009330845632041895,0.009004949936900597,0.009115548823762754,0.007405917638558024,-0.00032589569514129835,0.00011059888686215658,-0.000831987935399181,0.13358755293174776,0.12693799159722818,-0.12986427196710648
sell,10,60,0.003344022242789846,0.0030025274798114454,0.002984046278152519,0.0013415518740571564,-0.0003414947629784004,-1.8481201658926416e-05,-0.0008581140877891302,0.08931542476340255,0.0825555177082381,-0.12279039419261696
sell,10,300,0.00022547708082787388,0.00031914725844395253,0.0007558731384672557,0.0008885706082588651,9.367017761607865e-05,0.00043672588002330315,0.000490599293225702,0.030305037719767867,0.028207439293500627,1.0968532420913495
sell,30,1,0.021699392712322574,0.021692814977136265,0.022328388676408517,0.021367577099771995,-6.577735186308331e-06,0.0006355736992722516,-0.0002819317917703845,0.23394843423410486,0.232138670861816,-0.015649836921126675
sell,30,5,0.019821046114619878,0.019832266099805262,0.020482498188751697,0.01882538818908186,1.1219985185384473e-05,0.0006502320889464341,-0.0005170065374664468,0.23230427753853714,0.22866752799315407,-0.0015976418869904432
sell,30,10,0.017395062826259355,0.017364911053923238,0.01803248525979828,0.015804462917992756,-3.0151772336117766e-05,0.0006675742058750433,-0.0007365171929346603,0.21432668986451897,0.2097702813729835,0.01189210002920826
sell,30,30,0.009497985785047902,0.009208512304706318,0.009906575509878168,0.006492083972719165,-0.0002894734803415844,0.0006980632051718505,-0.0014910893831275862,0.13321786392241075,0.12552675905980243,0.05417513017652355
sell,30,60,0.00394752224188577,0.0035890758570077397,0.003854595825907081,0.0007089458590155973,-0.0003584463848780306,0.0002655199688993415,-0.0012593864408144695,0.08970872357064125,0.0831864003961385,0.1792711714817421
sell,30,300,0.00017772724667952655,0.000326619468509981,0.0008220657821419453,0.0018271403685281573,0.00014889222183045447,0.0004954463136319642,0.0008545869236817882,0.028344946447177197,0.03017627077001787,2.147321117994797
sell,60,1,0.021474108664431224,0.02144549042979038,0.022086243917388115,0.021397835199711945,-2.8618234640842566e-05,0.0006407534875977339,-6.996446948071e-05,0.2345786543953609,0.23416866078309043,-0.011632239569824671
sell,60,5,0.019840448686656353,0.019840061401792397,0.020537467647102403,0.019197588116085962,-3.8728486395633865e-07,0.0006974062453100061,-0.00024803868379486005,0.2337527828842408,0.23150459019337943,0.013431939020115084
sell,60,10,0.017381769231563093,0.017349258824650327,0.018169351799747768,0.016047819361763027,-3.2510406912766854e-05,0.0008200929750974417,-0.0004990877671938732,0.21511224448267988,0.2119691809706222,0.027975542361566377
sell,60,30,0.00992064279950522,0.009727591450411022,0.01041690093850356,0.007039195309178625,-0.00019305134909419763,0.0006893094880925377,-0.0010219016798769243,0.1336723943632347,0.1288931271055845,-0.09132397986495214
sell,60,60,0.004272766229069358,0.004056853582809605,0.0043945652447479056,0.0013235030232852107,-0.0002159126462597527,0.00033771166193830027,-0.0009613205702160288,0.09081009856805895,0.08884623514475787,-0.3941807795224938
sell,60,300,-0.00022239085039932327,-0.00018619788645191093,0.0001493325106057819,0.002805020783085199,3.619296394741234e-05,0.00033553039705769283,0.0010267406905131171,0.022902831738237026,0.032294565459646735,3.613103371079369
