split,side,formation_window,horizon,pressure_quantile,mean_markout_bps,ci_low,ci_high,adverse_frequency,observation_count
validation,buy,1,5,8,-0.06531063031990528,-0.09339288059994201,-0.037228380039868544,0.328011541235874,20795
validation,buy,1,5,9,0.08452196580023845,0.055848817499905265,0.11319511410057163,0.27617366015787287,19256
validation,buy,1,5,10,-0.1104964872854875,-0.13898363460816832,-0.08200933996280668,0.3163604622163106,24058
test,buy,1,5,1,0.31086582155150366,0.2592983563777319,0.3624332867252754,0.39995384260327715,43330
test,buy,1,5,2,0.013285209878665435,-0.029401246291805076,0.05597166604913595,0.4041030836446527,31586
test,buy,1,5,3,-0.13856271404152812,-0.18090868619677042,-0.09621674188628583,0.40554283274463376,25763
test,buy,1,5,4,-0.16491943707679452,-0.20933892106116894,-0.12049995309242009,0.3989547038327526,21812
test,buy,1,5,5,-0.17136551287671073,-0.2150524591833606,-0.12767856657006085,0.3850784096309203,18939
test,buy,1,5,6,-0.12547906999773006,-0.17086639566144854,-0.08009174433401159,0.3686817449424121,16757
test,buy,1,5,7,-0.09746355429755556,-0.14379254255022375,-0.05113456604488737,0.3483329924319902,14667
test,buy,1,5,8,-0.06173803136763303,-0.10792945405800616,-0.015546608677259884,0.3210481955405716,13051
test,buy,1,5,9,0.04563793732260893,-0.013538494217755943,0.1048143688629738,0.2802889959244165,10796
test,buy,1,5,10,-0.2995756211854685,-0.37548305695894063,-0.22366818541199635,0.3093889461036732,11652
validation,buy,1,10,1,0.30275686159358894,0.2592797207530969,0.346234002434081,0.4215011886095797,39542
validation,buy,1,10,2,0.092430931357616,0.051927988843053864,0.13293387387217814,0.4299047619047619,31500
validation,buy,1,10,3,-0.033959187729536856,-0.07463803608944347,0.006719660630369752,0.435489610019926,28104
validation,buy,1,10,4,-0.12487084210770447,-0.1653469838056036,-0.08439470040980535,0.44243452771242336,25927
validation,buy,1,10,5,-0.16762219813010273,-0.2091288755428817,-0.12611552071732376,0.4408033826638478,24596
validation,buy,1,10,6,-0.18698136655740416,-0.22931478149585935,-0.14464795161894897,0.43677360379576025,22973
validation,buy,1,10,7,-0.12073474962849057,-0.1616667980229814,-0.07980270123399973,0.42582614942528735,22272
validation,buy,1,10,8,-0.13250112585380852,-0.17337108450907576,-0.09163116719854128,0.41657447934202296,20791
validation,buy,1,10,9,0.11980606251028904,0.07665263609546899,0.16295948892510909,0.3610764754779717,19248
validation,buy,1,10,10,-0.11140702555955058,-0.15437234161684743,-0.06844170950225373,0.4013308380120607,24045
test,buy,1,10,1,0.3629980971002679,0.28808955267226793,0.4379066415282679,0.44439826360025864,43308
test,buy,1,10,2,-0.054215305789606684,-0.11605169692354451,0.007621085344331147,0.4588175686373856,31579
test,buy,1,10,3,-0.17472696641777619,-0.23975343144244374,-0.10970050139310863,0.4553467422536305,25754
test,buy,1,10,4,-0.22523786039456103,-0.29083390213554217,-0.1596418186535799,0.4593441871130475,21805
test,buy,1,10,5,-0.23429852852399163,-0.3001839729303296,-0.16841308411765366,0.45528970580467965,18933
test,buy,1,10,6,-0.1745029106978171,-0.24657616932915616,-0.10242965206647803,0.4337133647704889,16753
test,buy,1,10,7,-0.07315271218478347,-0.14117455047495503,-0.0051308738946119065,0.42058241833185567,14663
test,buy,1,10,8,-0.06940621945452487,-0.1417737198770509,0.002961280968001148,0.39793024147182826,13045
test,buy,1,10,9,0.11230945034376352,0.017349995244883454,0.2072689054426436,0.3617908787541713,10788
test,buy,1,10,10,-0.35656840255141087,-0.48020670416084676,-0.23293010094197494,0.3979399141630901,11650
validation,buy,1,30,1,0.38856026324702014,0.31360562010831017,0.4635149063857301,0.45848851055205087,39471
validation,buy,1,30,2,0.11918977898485161,0.04583748893887635,0.19254206903082688,0.47411764705882353,31450
validation,buy,1,30,3,-0.02584141946362678,-0.09938851681933017,0.04770567789207661,0.47558802565930147,28060
validation,buy,1,30,4,-0.16051581914550483,-0.23629199408350238,-0.08473964420750728,0.4874111831943157,25896
validation,buy,1,30,5,-0.2499780643511447,-0.3272297790995177,-0.17272634960277167,0.4930815562428781,24572
validation,buy,1,30,6,-0.28978721754175485,-0.36765980935078474,-0.21191462573272496,0.4883254922460359,22956
validation,buy,1,30,7,-0.25468547372538675,-0.3290677225355831,-0.1803032249151904,0.4919271418934113,22235
validation,buy,1,30,8,-0.17018291009911146,-0.24599205786535183,-0.09437376233287109,0.4762684124386252,20774
validation,buy,1,30,9,0.06341280491992839,-0.015622325339132909,0.14244793517898968,0.4406409322651129,19222
validation,buy,1,30,10,-0.17573223394505674,-0.2512840723779964,-0.10018039551211712,0.46954420464961255,24002
test,buy,1,30,1,0.4865070178149639,0.3473990120250443,0.6256150236048835,0.47262047914161504,43244
