sequence,side,strong_minus_weak_markout,quote_survival_difference,dynamic_vs_static_improvement,count
stratified_null_87,combined,0.5088420336347229,0.003503792096727798,2.9825272898579853,4868
stratified_null_88,buy,1.128014638664453,-0.013839630984257667,4.096584589268297,2358
stratified_null_88,sell,-0.33816559841391086,0.017993113487486723,0.10609989573523687,2510
stratified_null_88,combined,0.3727136085151167,0.003498933029911555,2.0402560055868686,4868
stratified_null_89,buy,1.3238381435340927,-0.004689729123464326,0.8462582822829645,2358
stratified_null_89,sell,1.2787198778745026,0.03746990650019594,1.2420419008940715,2510
stratified_null_89,combined,1.166980847475648,0.01814375549175784,0.9166419984461731,4868
stratified_null_90,buy,0.6269079547754175,-0.004983992678845972,1.1651585011000896,2358
stratified_null_90,sell,2.0496466109776548,0.08076255528805776,1.6875474719910388,2510
stratified_null_90,combined,1.2176911997136055,0.036588368203886446,1.2919011484753753,4868
stratified_null_91,buy,0.5898216137492782,0.004711298179879753,0.9058677720436883,2358
stratified_null_91,sell,2.228777470352777,0.04317717373047425,3.0158244138228687,2510
stratified_null_91,combined,1.2662953710878382,0.023230793526103355,1.8250955274912752,4868
stratified_null_92,buy,-0.81858335121796,0.0036420892404301908,1.2258353134375537,2358
stratified_null_92,sell,-0.597829194339436,0.00209254800962988,0.23927088766027627,2510
stratified_null_92,combined,-0.8223406206230268,0.003488000129575064,0.5998255507129671,4868
stratified_null_93,buy,-0.9657419482588474,-0.012770422044808105,-0.28151665491664035,2358
stratified_null_93,sell,0.8243176470749559,0.06257698337159168,2.752231145461265,2510
stratified_null_93,combined,-0.1414453024285359,0.02579435619389292,1.1837774025483108,4868
