side,formation_window,horizon,component,subgroup_type,subgroup,low_mean_markout_bps,high_mean_markout_bps,high_minus_low_markout_bps,rank_correlation,observation_count,low_count,high_count
buy,5,10,inverse_depth_denominator,all,all,0.9644978601317094,-0.620816755892877,-1.5853146160245863,-0.13181704182115206,208278,13593,52526
buy,5,30,market_flow,all,all,-0.05437962801762365,-0.9543544685597601,-0.8999748405421365,-0.006521286478365914,207978,75574,20735
buy,5,30,cancellation,all,all,-0.9202823937976441,0.7198364422882676,1.6401188360859118,0.06875323288628654,207978,45700,20517
buy,5,30,negative_replenishment,all,all,1.1379222354544873,-1.2156994388896847,-2.353621674344172,-0.08136136435349049,207978,30330,32599
buy,5,30,P2_market_cancel_raw,all,all,-0.6610126116365623,0.3885242007149437,1.049536812351506,0.06555099611771556,207978,45346,20669
buy,5,30,P3_full_raw,all,all,0.7551722737154997,-1.1110559212481819,-1.8662281949636816,-0.06800204269799041,207978,49572,26266
buy,5,30,P3_depth_normalized,all,all,0.1108978357592308,-0.6924306978322234,-0.8033285335914543,-0.015975998360313867,207978,86617,18965
buy,5,30,inverse_depth_denominator,all,all,0.8979281628507729,-0.8279744429147468,-1.7259026057655196,-0.081869905941777,207978,13578,52431
buy,5,60,market_flow,all,all,-0.1401050483553427,-1.7679518908923306,-1.6278468425369879,-0.004634239143637916,207528,75445,20692
buy,5,60,cancellation,all,all,-1.278011676859472,0.5831353151161287,1.8611469919756007,0.04444755980709617,207528,45624,20487
buy,5,60,negative_replenishment,all,all,1.113619549951548,-1.40082066792635,-2.514440217877898,-0.057184190669326805,207528,30267,32549
buy,5,60,P2_market_cancel_raw,all,all,-0.871985821692823,0.09994526507129085,0.9719310867641139,0.04143457732713131,207528,45269,20639
buy,5,60,P3_full_raw,all,all,0.7434420496879581,-1.4449146588014832,-2.188356708489441,-0.05311818384492592,207528,49455,26219
buy,5,60,P3_depth_normalized,all,all,0.11073455790168744,-1.1205939722485754,-1.2313285301502628,-0.02470367011323624,207528,86416,18920
buy,5,60,inverse_depth_denominator,all,all,0.34474627617760034,-0.7373703715008848,-1.0821166476784851,-0.05272348366554392,207528,13548,52320
buy,5,300,market_flow,all,all,-0.4146012824023867,-2.9355359576063798,-2.520934675203993,0.0034804706028542915,203928,73988,20209
buy,5,300,cancellation,all,all,-2.47356519136755,-1.6723308001788424,0.8012343911887077,0.007696911375569877,203928,44675,20138
buy,5,300,negative_replenishment,all,all,-0.5724604681104535,-2.0323156075476234,-1.45985513943717,-0.017251964983291297,203928,29819,31813
buy,5,300,P2_market_cancel_raw,all,all,-1.8949581422362807,-1.550369496624176,0.3445886456121048,0.008712514009298601,203928,44341,20286
buy,5,300,P3_full_raw,all,all,-0.8129753261648224,-1.3987933450213852,-0.5858180188565628,-0.01743034161356634,203928,48735,25669
buy,5,300,P3_depth_normalized,all,all,-1.1122375547391756,-2.340225582310487,-1.2279880275713115,-0.01939746352695457,203928,85013,18486
buy,5,300,inverse_depth_denominator,all,all,-2.975956797794289,-1.3231051684207975,1.6528516293734914,-0.003482317792512684,203928,13331,51384
buy,10,1,market_flow,all,all,0.00133302913955093,-0.033337595178274185,-0.03467062431782512,-0.007470770361845077,208413,54377,39296
buy,10,1,cancellation,all,all,-0.10960819378312732,0.10667925860868847,0.2162874523918158,0.06256360391901272,208413,49192,18323
buy,10,1,negative_replenishment,all,all,0.16283922308858456,-0.14531021191057325,-0.3081494349991578,-0.08885864535406215,208413,28375,33963
buy,10,1,P2_market_cancel_raw,all,all,-0.09861445136936882,0.08831745433563237,0.18693190570500118,0.06016774396665571,208413,48683,18487
buy,10,1,P3_full_raw,all,all,0.12394801522186004,-0.13374930465878554,-0.2576973198806456,-0.08207714774805458,208413,51319,25715
buy,10,1,P3_depth_normalized,all,all,0.02502455800501227,-0.06126049387743174,-0.08628505188244401,-0.023047612661927085,208413,94234,16812
buy,10,1,inverse_depth_denominator,all,all,0.14460971202541612,-0.11054582264207909,-0.2551555346674952,-0.08210697496185475,208413,12381,54155
buy,10,5,market_flow,all,all,-0.027623869989917754,-0.10993381692113119,-0.08230994693121343,-0.014676152056510468,208353,54348,39290
buy,10,5,cancellation,all,all,-0.37463500842346564,0.34323572921450474,0.7178707376379704,0.0927444082347169,208353,49171,18322
buy,10,5,negative_replenishment,all,all,0.5044285929561677,-0.4769579472866155,-0.9813865402427833,-0.11107164853230359,208353,28371,33951
buy,10,5,P2_market_cancel_raw,all,all,-0.3188941092868964,0.28945803973636086,0.6083521490232573,0.08917693193690603,208353,48662,18486
buy,10,5,P3_full_raw,all,all,0.2958825482342439,-0.44166558036212966,-0.7375481285963736,-0.0929947439347391,208353,51307,25706
buy,10,5,P3_depth_normalized,all,all,0.04026759243907195,-0.19305621369901813,-0.23332380613809006,-0.00867206045973256,208353,94201,16804
buy,10,5,inverse_depth_denominator,all,all,0.5301534557505632,-0.33456337879054493,-0.864716834541108,-0.11293421988537493,208353,12381,54138
buy,10,10,market_flow,all,all,-0.06283906588430445,-0.18415531565257004,-0.12131624976826559,-0.009978004857265443,208278,54315,39280
buy,10,10,cancellation,all,all,-0.5798048374312292,0.5056657684168261,1.0854706058480552,0.09155581022854477,208278,49137,18320
buy,10,10,negative_replenishment,all,all,0.7612899218142163,-0.7305939448136974,-1.4918838666279137,-0.10531656742172968,208278,28359,33937
buy,10,10,P2_market_cancel_raw,all,all,-0.5033195336155645,0.3801610962155497,0.8834806298311142,0.08732060356563445,208278,48633,18484
buy,10,10,P3_full_raw,all,all,0.4161803663534511,-0.7111345965380611,-1.1273149628915122,-0.08718651157606783,208278,51287,25689
